geneID	p	DONOR1	DONOR2	FMT1	FMT2	Product	EC_number	koID	ko_anno	module_ID	module_anno	pathway_ID	pathway_anno
g000125	0.0336538461538462	1	0	0.555555555555556	0	Thiamine pyrophosphokinase	2.7.6.2	K00949	thiN, TPK1, THI80; thiamine pyrophosphokinase [EC:2.7.6.2]	NA	NA	path:map00730	Thiamine metabolism
g000161	0.034965034965035	0	1	0.111111111111111	0.714285714285714	hypothetical protein			NA	NA	NA	NA	NA
g000167	0.000874125874125875	1	1	1	0.142857142857143	KHG/KDPG aldolase		K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	md:M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	path:map00030	Pentose phosphate pathway
g000193	0.0113636363636364	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000220	0.0013986013986014	0	1	0.111111111111111	1	Glucose-1-phosphate thymidylyltransferase	2.7.7.24	K00973	E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	md:M00793	dTDP-L-rhamnose biosynthesis	path:map00521	Streptomycin biosynthesis
g000223	0.0013986013986014	0	1	0.111111111111111	1	hypothetical protein			NA	NA	NA	NA	NA
g000224	0.0013986013986014	0	1	0.111111111111111	1	hypothetical protein			NA	NA	NA	NA	NA
g000263	0.0336538461538462	1	0	0.555555555555556	0	hypothetical protein			NA	NA	NA	NA	NA
g000264	0.0336538461538462	0	0	0.555555555555556	0	hypothetical protein			NA	NA	NA	NA	NA
g000402	8.74125874125873e-05	1	0	1	0	hypothetical protein			NA	NA	NA	NA	NA
g000421	0.0013986013986014	0	0	0.888888888888889	0	hypothetical protein			NA	NA	NA	NA	NA
g000478	0.0336538461538462	0	0	0.555555555555556	0	hypothetical protein			NA	NA	NA	NA	NA
g000479	0.00323426573426573	0	0	0.777777777777778	0	hypothetical protein			NA	NA	NA	NA	NA
g000591	8.74125874125873e-05	0	1	0	1	IS982 family transposase ISLhe7			NA	NA	NA	NA	NA
g000616	8.74125874125873e-05	1	0	1	0	hypothetical protein			NA	NA	NA	NA	NA
g000744	8.74125874125873e-05	1	0	1	0	hypothetical protein			NA	NA	NA	NA	NA
g000752	0.034965034965035	0	1	0.111111111111111	0.714285714285714	hypothetical protein			NA	NA	NA	NA	NA
g000786	0.0113636363636364	1	1	0.333333333333333	1	Lactate 2-monooxygenase	1.13.12.4		NA	NA	NA	NA	NA
g000922	8.74125874125873e-05	1	0	1	0	hypothetical protein			NA	NA	NA	NA	NA
g000923	0.0013986013986014	1	0	0.888888888888889	0	hypothetical protein			NA	NA	NA	NA	NA
g000924	8.74125874125873e-05	1	0	1	0	hypothetical protein			NA	NA	NA	NA	NA
g000925	0.0336538461538462	0	0	0.555555555555556	0	hypothetical protein			NA	NA	NA	NA	NA
g001318	0.00323426573426573	0	1	0.222222222222222	1	hypothetical protein			NA	NA	NA	NA	NA
g001424	8.74125874125873e-05	1	0	1	0	Phosphate-binding protein PstS 1		K02040	pstS; phosphate transport system substrate-binding protein	NA	NA	path:map02010	ABC transporters
g001426	8.74125874125873e-05	1	0	1	0	IS982 family transposase ISLhe7			NA	NA	NA	NA	NA
g001433	8.74125874125873e-05	1	0	1	0	hypothetical protein			NA	NA	NA	NA	NA
g002461	0.0192307692307692	0	0	0	0.571428571428571	Holliday junction resolvase RecU	3.1.22.4	K03700	recU; recombination protein U	NA	NA	NA	NA
g002462	0.0192307692307692	0	0	0	0.571428571428571	Transcription termination/antitermination protein NusA			NA	NA	NA	NA	NA
g002463	8.74125874125873e-05	0	0	0	1	hypothetical protein			NA	NA	NA	NA	NA
g002477	0.0113636363636364	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g002478	0.0013986013986014	1	0	0.888888888888889	0	Protein QmcA			NA	NA	NA	NA	NA
g002486	8.74125874125873e-05	1	0	1	0	Transcriptional regulator MtlR		K03483	mtlR; mannitol operon transcriptional antiterminator	NA	NA	NA	NA
g002521	0.0113636363636364	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g002522	0.0013986013986014	1	0	0.888888888888889	0	putative inner membrane transporter YicL			NA	NA	NA	NA	NA
g002523	0.00323426573426573	1	0	0.777777777777778	0	hypothetical protein			NA	NA	NA	NA	NA
g002524	8.74125874125873e-05	1	0	1	0	putative endoglucanase	3.2.1.4		NA	NA	NA	NA	NA
g002525	8.74125874125873e-05	1	0	1	0	S-layer protein			NA	NA	NA	NA	NA
g005124	0.00874125874125874	0	1	0.111111111111111	0.857142857142857	Single-stranded DNA-binding protein			NA	NA	NA	NA	NA
g005280	0.00480769230769231	0	0	0	0.714285714285714	hypothetical protein			NA	NA	NA	NA	NA
g005285	0.000874125874125875	0	0	0	0.857142857142857	putative ABC transporter ATP-binding protein NosF			NA	NA	NA	NA	NA
g005353	0.00323426573426573	1	0	0.777777777777778	0	hypothetical protein			NA	NA	NA	NA	NA
g005357	8.74125874125873e-05	1	0	1	0	Pyruvate oxidase	1.2.3.3	K00158	E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]	NA	NA	path:map00620	Pyruvate metabolism
g005358	0.00480769230769231	1	1	1	0.285714285714286	hypothetical protein			NA	NA	NA	NA	NA
g005446	0.0405594405594406	0	1	0.222222222222222	0.857142857142857	IS982 family transposase ISLh1			NA	NA	NA	NA	NA
g005568	0.0013986013986014	1	0	0.888888888888889	0	hypothetical protein			NA	NA	NA	NA	NA
g005570	0.0013986013986014	1	0	0.888888888888889	0	hypothetical protein			NA	NA	NA	NA	NA
g005572	0.00323426573426573	0	0	0.777777777777778	0	hypothetical protein			NA	NA	NA	NA	NA
g005573	8.74125874125873e-05	1	0	1	0	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	2.3.1.89	K05822	dapH, dapD; tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]	md:M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	path:map00300	Lysine biosynthesis
g005626	0.0336538461538462	0	0	0.555555555555556	0	hypothetical protein			NA	NA	NA	NA	NA
g005627	0.0336538461538462	0	0	0.555555555555556	0	Glycolate permease GlcA		K02550	glcA; glycolate permease	NA	NA	NA	NA
g005628	0.0013986013986014	0	0	0.888888888888889	0	hypothetical protein			NA	NA	NA	NA	NA
